,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",1060.0,-1633.3950508014211,2106.6887926840973,-6031.531762599945,-3855.453028321266,-153.76266193389893,85.04393815994263,395.28606128692627
"(0.0, 0.0, 0.1, 0.0, 0.0, 0.9)",1061.0,2328.785916352345,2109.1610351350505,-789.4561966700348,554.5398406661079,1604.3173244457466,4082.65004983604,8080.040589718636
"(0.0, 0.0, 0.1, 0.0, 0.1, 0.8)",1060.0,2390.4060939317155,2127.8749490147075,-731.5692310537343,598.8651737416321,1633.1003651960564,4190.654773772649,8090.797050211375
"(0.0, 0.0, 0.1, 0.0, 0.2, 0.7)",1061.0,2249.9556275125074,2055.2016985513264,-800.9296121253683,504.0517782860006,1572.6823915780042,3970.3572539223605,7855.017049218972
"(0.0, 0.0, 0.1, 0.0, 0.3, 0.6)",1059.0,2217.6432167182656,2033.5972882587419,-801.7490833121919,485.8734443340745,1530.0399970337785,3905.1053754037894,7859.481339846388
"(0.0, 0.0, 0.1, 0.0, 0.4, 0.5)",1060.0,2251.992130457813,2043.846559423465,-749.1602022961342,508.29955706196915,1546.826241672583,3967.3162584426555,7901.298992782875
"(0.0, 0.0, 0.1, 0.0, 0.5, 0.4)",1059.0,2365.3943015066466,2094.2862803625267,-699.9161981607031,595.733331270983,1640.3718489401508,4132.8723254224315,8047.680419168799
"(0.0, 0.0, 0.1, 0.0, 0.6, 0.3)",1060.0,2309.26058326103,2064.4002822136663,-692.3363979963506,564.3887729050793,1634.6101767760465,4013.371858638222,7985.117493906473
"(0.0, 0.0, 0.1, 0.0, 0.7, 0.2)",1059.0,2340.558790055896,2076.520926016721,-644.5748334049458,604.4254402649667,1615.8334559013529,4057.608328267279,8105.073539982397
"(0.0, 0.0, 0.1, 0.0, 0.8, 0.1)",1060.0,2249.7407033671984,2029.7635524348507,-710.4930445617538,533.7277073608875,1561.5400719506206,3908.7482486083045,7859.645617871938
"(0.0, 0.0, 0.1, 0.0, 0.9, 0.0)",1061.0,2297.3822457634283,2085.9338241662085,-693.7393699135027,530.5690254262754,1544.9304146690483,4030.847668600487,8122.811009230783
"(0.0, 0.0, 0.1, 0.1, 0.0, 0.8)",1059.0,1877.9761811884061,1650.7538058026507,-689.3238855610871,531.5416536931161,1411.4189991779913,3193.1645030639847,6567.299796768471
"(0.0, 0.0, 0.1, 0.1, 0.1, 0.7)",1060.0,1851.6388189634765,1621.5974745651404,-648.408077178181,514.6323421319394,1407.0322514895406,3136.260296938357,6517.505171496829
"(0.0, 0.0, 0.1, 0.1, 0.2, 0.6)",1061.0,1850.8893861445629,1618.253291814636,-641.9085794893508,525.7925511495705,1402.9595504083663,3131.558552311508,6551.879272701051
"(0.0, 0.0, 0.1, 0.1, 0.3, 0.5)",1061.0,1793.9192643432743,1576.6669919471708,-670.5093260815047,493.48799535950457,1366.2929580574637,3039.9363187569033,6369.7899798148355
"(0.0, 0.0, 0.1, 0.1, 0.4, 0.4)",1060.0,1892.5935747772985,1634.9340504420388,-593.8514116515216,556.0667608103308,1430.8267322292431,3193.630425231191,6623.32923616148
"(0.0, 0.0, 0.1, 0.1, 0.5, 0.3)",1060.0,1944.6432012947641,1638.1513718251335,-533.0487032914534,620.5806792719236,1488.8570232029015,3256.4530942278325,6651.969600486227
"(0.0, 0.0, 0.1, 0.1, 0.6, 0.2)",1060.0,1701.897192125843,1573.6650620911794,-748.3874157727223,402.06259216987155,1259.6568124705336,2939.9119504960254,6339.929838099481
"(0.0, 0.0, 0.1, 0.1, 0.8, 0.0)",1061.0,1908.4800488670141,1658.468599020596,-547.7881778961673,551.2274012973194,1421.1977854986144,3206.488144567942,6749.164880182805
"(0.0, 0.0, 0.1, 0.2, 0.0, 0.7)",1061.0,1475.616678740231,1260.1249718933989,-602.5946582486395,475.5573916801259,1197.3129666271852,2355.5870028279023,5558.5380247965695
"(0.0, 0.0, 0.1, 0.2, 0.1, 0.6)",1060.0,1367.1814567682911,1194.154027090268,-626.4516387711192,430.2794935183838,1103.4227420613097,2206.8401266715737,5376.147741837318
"(0.0, 0.0, 0.1, 0.2, 0.2, 0.5)",1061.0,1321.199506348944,1184.8663511814023,-632.3184297716143,382.20407843349676,1061.493179959245,2146.7364571240178,5310.150492334884
"(0.0, 0.0, 0.1, 0.2, 0.3, 0.4)",1060.0,1280.0488708608227,1203.5098826217072,-716.4083246374794,321.3182770125668,993.6457128575848,2149.30584933872,5255.541690913804
"(0.0, 0.0, 0.1, 0.2, 0.4, 0.3)",1061.0,1439.458688351267,1233.1914522540496,-556.9012064383896,481.6890305447523,1165.8275924703412,2307.7209842809098,5382.450056668164
"(0.0, 0.0, 0.1, 0.2, 0.5, 0.2)",1059.0,1405.876270131158,1222.0772687057563,-572.2083068115644,450.45107762085354,1144.6039590096188,2266.8578603794485,5343.045746463948
"(0.0, 0.0, 0.1, 0.2, 0.6, 0.1)",1060.0,1293.329054602658,1200.7277223017436,-669.9197600212174,334.173290354084,1008.7267982012208,2114.266904923854,5164.405903777042
"(0.0, 0.0, 0.1, 0.2, 0.7, 0.0)",1060.0,1489.7989804134158,1254.0474835325292,-470.6889317971327,515.7000789211229,1225.5551305389063,2360.133125866081,5467.935334461821
"(0.0, 0.0, 0.1, 0.3, 0.0, 0.6)",1060.0,916.3572729290421,879.3565697208247,-638.1881843851297,264.86276510420157,748.6125021974913,1411.2905788455719,4482.894461798569
"(0.0, 0.0, 0.1, 0.3, 0.1, 0.5)",1061.0,1005.640981825697,857.8209548932605,-508.18610705541505,367.7161377615712,860.5234359599526,1468.4911640860992,4601.2399230385345
"(0.0, 0.0, 0.1, 0.3, 0.2, 0.4)",1061.0,931.3102063626151,843.8976496014391,-531.957046722604,292.60137183653933,764.6245333223469,1385.9416447627882,4454.894866640028
"(0.0, 0.0, 0.1, 0.3, 0.3, 0.3)",1060.0,891.135335935611,815.1596056329902,-580.9809966822431,263.23537386001226,751.150412451776,1314.4809903848836,4296.138828998948
"(0.0, 0.0, 0.1, 0.3, 0.4, 0.2)",1059.0,854.7043622631828,806.569313858177,-583.0380939776878,247.97498959788754,707.6289700915258,1278.7101421681045,4254.970705464661
"(0.0, 0.0, 0.1, 0.3, 0.5, 0.1)",1060.0,973.7316362610587,845.8560053444565,-443.8110283877104,330.9778068951473,795.7907530608782,1442.7844802387735,4483.468416810945
"(0.0, 0.0, 0.1, 0.3, 0.6, 0.0)",1061.0,1074.0749514812176,889.9074857104583,-407.24083726578465,412.61794462467515,880.1296509947733,1588.5134616753712,4555.270797630757
"(0.0, 0.0, 0.1, 0.4, 0.0, 0.5)",1059.0,512.2735526828354,626.1707807466853,-1406.0613068135572,66.50223879990358,483.0457635073326,887.8958523929941,3557.1229158486967
"(0.0, 0.0, 0.1, 0.4, 0.1, 0.4)",1059.0,465.7276759050944,611.9444453440715,-1379.00402756517,40.4892131148365,431.2510143205436,827.3799710583899,3456.550720670086
"(0.0, 0.0, 0.1, 0.4, 0.2, 0.3)",1059.0,474.2464775528302,611.9813269079392,-1347.8198835900475,47.87123262804198,445.1522390023274,831.3837792541772,3437.1654517299103
"(0.0, 0.0, 0.1, 0.4, 0.3, 0.2)",1059.0,575.7918350124196,622.9559688898427,-1185.9779403249922,98.9841216106197,561.9099074464139,945.3033403339632,3521.063560889419
"(0.0, 0.0, 0.1, 0.4, 0.4, 0.1)",1059.0,511.3634845870521,618.7125264815586,-1260.69599840109,53.89355141946794,495.16496011016716,885.8299483126793,3504.4489144639992
"(0.0, 0.0, 0.1, 0.4, 0.5, 0.0)",1059.0,461.46670431183077,620.7704379701431,-1320.0663726962594,32.33690472921239,415.2563909844612,809.6420269602522,3386.020395426982
"(0.0, 0.0, 0.1, 0.5, 0.0, 0.4)",1061.0,84.52943666379744,671.2889201891813,-2192.4501321797725,-206.50778853969314,183.08073385732496,526.5807615800622,2612.915132755639
"(0.0, 0.0, 0.1, 0.5, 0.1, 0.3)",1060.0,-21.805227088821745,684.7023358808194,-2292.6826989727415,-317.46414760853486,88.80344375175719,416.16713291714586,2494.108258197004
"(0.0, 0.0, 0.1, 0.5, 0.2, 0.2)",1061.0,97.53686560799724,658.583822002208,-2091.649388643811,-168.5443020367893,208.39612331462195,535.3468405488202,2575.742396522808
"(0.0, 0.0, 0.1, 0.5, 0.4, 0.0)",1059.0,85.54987189797147,665.7877906205672,-2084.87961135387,-197.96856602548542,190.03329650513479,524.4876109013439,2620.0693063004146
"(0.0, 0.0, 0.1, 0.6, 0.0, 0.3)",1059.0,-389.8440074229514,952.0863482312432,-3041.3762465047475,-1115.6102401190765,9.157698993793929,322.9210199356521,1643.873338848105
"(0.0, 0.0, 0.1, 0.6, 0.1, 0.2)",1059.0,-357.4538197688875,953.9816841819551,-2943.0141738242164,-1087.7707109488674,15.876101779722376,369.66852601768187,1646.7622269134372
"(0.0, 0.0, 0.1, 0.6, 0.3, 0.0)",1060.0,-305.8907086892441,929.1001029091385,-2891.2070362138475,-998.70716279316,32.891857721463225,402.9340704046208,1685.915726779629
"(0.0, 0.0, 0.1, 0.7, 0.0, 0.2)",1061.0,-824.5669435997152,1337.0841110771391,-3946.5829368917694,-2113.54705353178,-38.54001052160311,251.18720885676885,756.9406539245701
"(0.0, 0.0, 0.1, 0.7, 0.2, 0.0)",1061.0,-803.0626148537286,1323.055629056,-3924.4279433971606,-2080.5988626067847,-17.05290316125729,251.6738092201922,741.576694979738
