,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.1, 0.2, 0.3, 0.4)",1060.0,-0.011523927739623178,0.012849364439766595,-0.08751016535273572,-0.017205378651315377,-0.007589143770355429,-0.0008329782897635413,0.0
"(0.0, 0.0, 0.1, 0.2, 0.4, 0.3)",1061.0,-0.010731931683665562,0.013077982114817602,-0.10770868260619569,-0.016099851439357844,-0.007020132950719753,-0.00013166879133929692,0.0
"(0.0, 0.0, 0.1, 0.2, 0.5, 0.2)",1059.0,-0.01134020323115545,0.015011448103039133,-0.10580092063147346,-0.015832916004040125,-0.005879371167361552,0.0,0.0
"(0.0, 0.0, 0.1, 0.2, 0.6, 0.1)",1060.0,-0.013047546112679808,0.015036804306842115,-0.1038218495604676,-0.020563283752421453,-0.008553438397894448,-0.0007255270955885523,0.0
"(0.0, 0.0, 0.1, 0.2, 0.7, 0.0)",1060.0,-0.011468521863901094,0.01264628649303377,-0.07469257941159428,-0.01821603499188788,-0.007570845535542619,-2.5234707847883243e-05,0.0
"(0.0, 0.0, 0.1, 0.3, 0.0, 0.6)",1060.0,-0.011922858926750872,0.013439449641339396,-0.0757251476688039,-0.018009202105447125,-0.007617646106297461,-0.00063420596783713,0.0
"(0.0, 0.0, 0.1, 0.3, 0.1, 0.5)",1061.0,-0.011507902440547089,0.013466787450640312,-0.09079095558155674,-0.01730734148488066,-0.007339263091689846,-0.0005660974067209022,0.0
"(0.0, 0.0, 0.1, 0.3, 0.2, 0.4)",1061.0,-0.011758212530563843,0.014218324730467207,-0.10544871902261176,-0.01685938406521593,-0.007181198579187571,-0.0007323017839626493,0.0
"(0.0, 0.0, 0.1, 0.3, 0.3, 0.3)",1060.0,-0.010463568694303371,0.01139585047039038,-0.07825859435577663,-0.01694901721718481,-0.006839219127366956,-0.0006640657310390075,0.0
"(0.0, 0.0, 0.1, 0.3, 0.4, 0.2)",1059.0,-0.011615848739156751,0.014338612856577167,-0.09877781922881582,-0.01656131916646887,-0.006824935163997468,-0.0007405180901128835,0.0
